Economy,Code,Year,Eating_disorders_Male,Eating_disorders_Female,All_gender
Indonesia,IDN,2019,0.08908327,0.13319406,0.111138665
Iran,IRN,2019,0.19039683,0.32033473,0.25536578
Iraq,IRQ,2019,0.14626622,0.2749875,0.21062686
Ireland,IRL,2019,0.23995522,0.6708383,0.45539676
Israel,ISR,2019,0.20855153,0.57064116,0.389596345
Italy,ITA,2019,0.21397236,0.8899479,0.55196013
Jamaica,JAM,2019,0.114598505,0.27073142,0.1926649625
Japan,JPN,2019,0.25822306,0.5253084,0.39176573
Jordan,JOR,2019,0.14020982,0.2570249,0.19861736
Kazakhstan,KAZ,2019,0.11515625,0.21000682,0.162581535
Kenya,KEN,2019,0.07934203,0.13405354,0.1066977849999999
Kiribati,KIR,2019,0.052994214,0.085438564,0.0692163889999999
Kuwait,KWT,2019,0.23722392,0.46400285,0.350613385
Kyrgyzstan,KGZ,2019,0.067938,0.118733734,0.0933358669999999
Laos,LAO,2019,0.0771768,0.12081945,0.0989981249999999
Latvia,LVA,2019,0.11325525,0.22089736,0.1670763049999999
Lebanon,LBN,2019,0.15521522,0.29536757,0.225291395
Lesotho,LSO,2019,0.07858295,0.13814743,0.10836519
Liberia,LBR,2019,0.05513122,0.096758924,0.075945072
Libya,LBY,2019,0.14103353,0.26530668,0.203170105
Lithuania,LTU,2019,0.11872073,0.22978777,0.17425425
Low-income countries,,2019,0.064938776,0.1136337,0.089286238
Lower-middle-income countries,,2019,0.09452748,0.16000827,0.127267875
Luxembourg,LUX,2019,0.28294563,0.8662557,0.574600665
Madagascar,MDG,2019,0.0628842,0.10985137,0.086367785
Malawi,MWI,2019,0.057153013,0.10004058,0.0785967965
Malaysia,MYS,2019,0.11840463,0.18549174,0.1519481849999999
Maldives,MDV,2019,0.09976447,0.15737948,0.128571975
Mali,MLI,2019,0.067077994,0.116846286,0.09196214
Malta,MLT,2019,0.21987185,0.6371612,0.428516525
Marshall Islands,MHL,2019,0.06332077,0.10291606,0.083118415
Mauritania,MRT,2019,0.08152936,0.1432822,0.11240578
Mauritius,MUS,2019,0.10760836,0.17152832,0.13956834
Mexico,MEX,2019,0.13231182,0.34751698,0.2399143999999999
Micronesia (country),FSM,2019,0.061269727,0.100007296,0.0806385115
Moldova,MDA,2019,0.072759196,0.14542101,0.109090103
Monaco,MCO,2019,0.41134617,1.3320221,0.8716841350000001
Mongolia,MNG,2019,0.094759226,0.1715045,0.133131863
Montenegro,MNE,2019,0.10242878,0.20885338,0.15564108
Morocco,MAR,2019,0.12996344,0.24304482,0.18650413
Mozambique,MOZ,2019,0.06034578,0.10469974,0.08252276
Myanmar,MMR,2019,0.07429934,0.115855955,0.0950776475
Namibia,NAM,2019,0.11469391,0.20450298,0.159598445
Nauru,NRU,2019,0.08594833,0.13900132,0.112474825
Nepal,NPL,2019,0.07381311,0.12800732,0.100910215
Netherlands,NLD,2019,0.22241752,0.5491999,0.38580871
New Zealand,NZL,2019,0.32916325,0.8731309,0.6011470750000001
Nicaragua,NIC,2019,0.09693205,0.23458974,0.165760895
Niger,NER,2019,0.056950133,0.09928933,0.0781197315
Nigeria,NGA,2019,0.09467911,0.16033325,0.12750618
Niue,NIU,2019,0.09064535,0.14708272,0.118864035
North Korea,PRK,2019,0.053640652,0.079484716,0.066562684
North Macedonia,MKD,2019,0.09587659,0.19277097,0.14432378
Northern Mariana Islands,MNP,2019,0.11454674,0.19099164,0.15276919
Norway,NOR,2019,0.26121816,0.70114213,0.481180145
Oman,OMN,2019,0.201472,0.38688555,0.294178775
Pakistan,PAK,2019,0.09109207,0.1525989,0.121845485
Palau,PLW,2019,0.094848104,0.15362833,0.124238217
Palestine,PSE,2019,0.11157105,0.20648965,0.15903035
Panama,PAN,2019,0.15058136,0.41801864,0.2843
Papua New Guinea,PNG,2019,0.062763,0.10111832,0.08194066
Paraguay,PRY,2019,0.13054687,0.3078269,0.219186885
Peru,PER,2019,0.12892833,0.46576035,0.29734434
Philippines,PHL,2019,0.08662529,0.123327374,0.104976332
Poland,POL,2019,0.11740062,0.25725552,0.18732807
Portugal,PRT,2019,0.23702389,0.60655004,0.421786965
Puerto Rico,PRI,2019,0.17906617,0.43791202,0.308489095
Qatar,QAT,2019,0.28060368,0.5546625,0.41763309
Romania,ROU,2019,0.11328113,0.21339951,0.1633403199999999
Russia,RUS,2019,0.11154929,0.21216393,0.16185661
Rwanda,RWA,2019,0.067928866,0.11890539,0.093417128
Saint Kitts and Nevis,KNA,2019,0.1583111,0.41614863,0.287229865
Saint Lucia,LCA,2019,0.12945828,0.31010568,0.21978198
Saint Vincent and the Grenadines,VCT,2019,0.12653032,0.3028832,0.21470676
Samoa,WSM,2019,0.07247679,0.11791049,0.09519364
San Marino,SMR,2019,0.24598166,0.74651915,0.496250405
Sao Tome and Principe,STP,2019,0.08055379,0.14201294,0.111283365
Saudi Arabia,SAU,2019,0.2164771,0.36627716,0.29137713
Senegal,SEN,2019,0.075098924,0.13135685,0.1032278869999999
Serbia,SRB,2019,0.09547092,0.19433612,0.14490352
Seychelles,SYC,2019,0.11986237,0.18863004,0.154246205
Sierra Leone,SLE,2019,0.06272392,0.10933584,0.08602988
Singapore,SGP,2019,0.30962422,0.5997228,0.45467351
Slovakia,SVK,2019,0.12109959,0.24733873,0.18421916
Slovenia,SVN,2019,0.122971,0.2516539,0.18731245
Solomon Islands,SLB,2019,0.05316311,0.085674755,0.0694189325
Somalia,SOM,2019,0.033747457,0.05771298,0.0457302185
South Africa,ZAF,2019,0.12163527,0.20811248,0.164873875
South Korea,KOR,2019,0.24768546,0.46666628,0.35717587
South Sudan,SSD,2019,0.10865536,0.19120848,0.14993192
Spain,ESP,2019,0.222033,0.96892655,0.595479775
Sri Lanka,LKA,2019,0.09339058,0.14563517,0.119512875
Sudan,SDN,2019,0.10183121,0.18843657,0.14513389
Suriname,SUR,2019,0.13360012,0.3203539,0.22697701
Sweden,SWE,2019,0.23204198,0.81457156,0.52330677
Switzerland,CHE,2019,0.23479217,0.7608422,0.497817185
Syria,SYR,2019,0.10849053,0.19969285,0.15409169
Taiwan,TWN,2019,0.13718233,0.21180898,0.174495655
Tajikistan,TJK,2019,0.06371955,0.1141432,0.088931375
Tanzania,TZA,2019,0.07581312,0.13169135,0.103752235
Thailand,THA,2019,0.103161044,0.16151032,0.132335682
Togo,TGO,2019,0.06480773,0.11282134,0.088814535
Tokelau,TKL,2019,0.07877898,0.12813108,0.10345503
Tonga,TON,2019,0.07098577,0.115740135,0.0933629525
Trinidad and Tobago,TTO,2019,0.16470964,0.40201762,0.28336363
